search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0125,SGP,2026-07-27T13:39:45Z,analyst-agent,Chinese,justice ministry,SGP justice ministry Chinese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0126,SGP,2026-07-27T13:39:45Z,analyst-agent,Chinese,statistics/open data,SGP statistics/open data Chinese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0127,SGP,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,SGP annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0128,SGP,2026-07-27T13:39:45Z,analyst-agent,Malay,statistics/open data,SGP statistics/open data Malay official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0129,SGP,2026-07-27T13:39:45Z,analyst-agent,Chinese,annual reports,SGP annual reports Chinese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0130,SGP,2026-07-27T13:39:45Z,analyst-agent,Malay,annual reports,SGP annual reports Malay official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0131,SGP,2026-07-27T13:39:45Z,analyst-agent,Malay,justice ministry,SGP justice ministry Malay official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0132,SGP,2026-07-27T13:39:45Z,analyst-agent,Malay,judiciary/court administration,SGP judiciary/court administration Malay official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0133,SGP,2026-07-27T13:39:45Z,analyst-agent,Tamil,judiciary/court administration,SGP judiciary/court administration Tamil official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0134,SGP,2026-07-27T13:39:45Z,analyst-agent,Tamil,justice ministry,SGP justice ministry Tamil official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0135,SWE,2026-07-27T13:39:45Z,analyst-agent,Swedish,statistics/open data,SWE statistics/open data Swedish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0136,SGP,2026-07-27T13:39:45Z,analyst-agent,Tamil,statistics/open data,SGP statistics/open data Tamil official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0137,SWE,2026-07-27T13:39:45Z,analyst-agent,Swedish,judiciary/court administration,SWE judiciary/court administration Swedish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0138,USA,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,USA annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0139,SGP,2026-07-27T13:39:45Z,analyst-agent,Tamil,annual reports,SGP annual reports Tamil official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0140,SWE,2026-07-27T13:39:45Z,analyst-agent,Swedish,annual reports,SWE annual reports Swedish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0141,USA,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,USA justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0142,SWE,2026-07-27T13:39:45Z,analyst-agent,Swedish,justice ministry,SWE justice ministry Swedish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0143,USA,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,USA judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0144,USA,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,USA statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0145,USA-CA,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,USA-CA judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0146,USA,2026-07-27T13:39:45Z,analyst-agent,Spanish,judiciary/court administration,USA judiciary/court administration Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0147,USA-CA,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,USA-CA justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0148,USA-CA,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,USA-CA statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0149,USA,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,USA statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0150,USA,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,USA justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0151,USA,2026-07-27T13:39:45Z,analyst-agent,Spanish,annual reports,USA annual reports Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0152,USA-CA,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,USA-CA statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0153,USA-CA,2026-07-27T13:39:45Z,analyst-agent,Spanish,judiciary/court administration,USA-CA judiciary/court administration Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0154,USA-CA,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,USA-CA annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0155,USA-CA,2026-07-27T13:39:45Z,analyst-agent,Spanish,annual reports,USA-CA annual reports Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0156,USA-MN,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,USA-MN judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0157,USA-CA,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,USA-CA justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0158,USA-MN,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,USA-MN justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0159,USA-MN,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,USA-MN statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0160,ZAF,2026-07-27T13:39:45Z,analyst-agent,English and official languages,judiciary/court administration,ZAF judiciary/court administration English and official languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0161,USA-MN,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,USA-MN annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0162,ZAF,2026-07-27T13:39:45Z,analyst-agent,English and official languages,justice ministry,ZAF justice ministry English and official languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0163,ZAF,2026-07-27T13:39:45Z,analyst-agent,English and official languages,statistics/open data,ZAF statistics/open data English and official languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0164,ZAF,2026-07-27T13:39:45Z,analyst-agent,English and official languages,annual reports,ZAF annual reports English and official languages official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
