search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0026,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,judiciary/court administration,CHL judiciary/court administration Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0027,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,CHL justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0028,ESP,2026-07-27T13:39:45Z,analyst-agent,Catalan,judiciary/court administration,ESP judiciary/court administration Catalan official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0029,ESP,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,ESP justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0030,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,justice ministry,ESP justice ministry Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0031,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,statistics/open data,ESP statistics/open data Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0032,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,statistics/open data,ESP statistics/open data Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0033,ESP,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,ESP statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0034,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,CHL statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0035,FRA,2026-07-27T13:39:45Z,analyst-agent,French,annual reports,FRA annual reports French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0036,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,annual reports,ESP annual reports Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0037,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,annual reports,CHL annual reports Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0038,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,judiciary/court administration,ESP judiciary/court administration Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0039,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,judiciary/court administration,ESP judiciary/court administration Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0040,ESP,2026-07-27T13:39:45Z,analyst-agent,Catalan,statistics/open data,ESP statistics/open data Catalan official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0041,ESP,2026-07-27T13:39:45Z,analyst-agent,Spanish,annual reports,ESP annual reports Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0042,ESP,2026-07-27T13:39:45Z,analyst-agent,Catalan,justice ministry,ESP justice ministry Catalan official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0043,ESP,2026-07-27T13:39:45Z,analyst-agent,Catalan,annual reports,ESP annual reports Catalan official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0044,FRA,2026-07-27T13:39:45Z,analyst-agent,French,justice ministry,FRA justice ministry French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0045,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,annual reports,ESP annual reports Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0046,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,justice ministry,ESP justice ministry Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0047,FRA,2026-07-27T13:39:45Z,analyst-agent,French,statistics/open data,FRA statistics/open data French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0048,FRA,2026-07-27T13:39:45Z,analyst-agent,French,judiciary/court administration,FRA judiciary/court administration French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0049,GBR,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,GBR judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0050,GBR,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,GBR statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0051,GBR,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,GBR annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0052,GBR,2026-07-27T13:39:45Z,analyst-agent,Welsh,judiciary/court administration,GBR judiciary/court administration Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0053,GBR,2026-07-27T13:39:45Z,analyst-agent,Welsh,justice ministry,GBR justice ministry Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0054,GBR,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,GBR justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0055,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,Welsh,justice ministry,GBR-EAW justice ministry Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0056,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,Welsh,judiciary/court administration,GBR-EAW judiciary/court administration Welsh official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0057,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,GBR-EAW annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0058,IND,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,IND judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0059,IND,2026-07-27T13:39:45Z,analyst-agent,Hindi,judiciary/court administration,IND judiciary/court administration Hindi official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0060,GBR-EAW,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,GBR-EAW judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
